Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Calendar Year (Jan-Dec),DJF,MAM,JJA,SON,Climate Year [1] (Dec-Nov),Climate Year [2] (Nov-Oct),Water Year (Oct-Sep),NDJFM,MJJAS
1895,-2.5,-6.9,-4.7,-0.3,1.9,3.2,-3.2,0.0,2.0,-5.8,0.4,2.5,-1.1,,-1.0,0.0,-1.1,,,,,0.8
1896,-2.1,-0.3,-7.0,2.7,4.1,-0.8,0.2,0.3,-1.6,-3.8,2.7,-2.1,-0.6,0.0,-0.1,-0.1,-0.9,-0.3,-0.5,-0.6,-1.3,0.4
1897,-1.0,1.1,-0.3,0.4,-0.8,-3.5,1.2,-2.0,-1.0,0.7,-1.3,1.1,-0.4,-0.7,-0.2,-1.4,-0.5,-0.7,-0.4,-0.8,0.1,-1.2
1898,0.4,2.3,5.7,-2.6,0.1,0.9,1.4,1.8,2.1,0.8,-1.6,-1.3,0.8,1.3,1.1,1.4,0.4,1.0,1.1,1.1,1.6,1.3
1899,-1.1,-4.4,-3.0,1.0,0.7,1.9,-0.4,0.5,-1.8,1.7,-1.0,1.8,-0.3,-2.3,-0.4,0.7,-0.4,-0.6,-0.7,-0.7,-2.3,0.2
1900,1.3,-1.1,-6.3,0.3,-1.0,1.5,0.8,3.0,3.0,4.9,1.0,-1.2,0.5,0.7,-2.3,1.8,3.0,0.8,0.6,0.3,-1.1,1.5
1901,-0.3,-6.5,-1.5,0.0,-0.4,1.4,2.8,1.3,0.5,-0.5,-5.9,-1.1,-0.9,-2.7,-0.6,1.8,-2.0,-0.9,-0.3,0.2,-1.7,1.1
1902,-1.8,-2.4,4.8,0.5,-0.7,-2.9,-1.6,-2.6,-0.3,-0.2,4.2,-3.4,-0.5,-1.8,1.5,-2.4,1.2,-0.3,-1.2,-1.2,-1.3,-1.6
1903,-0.2,2.0,8.1,0.2,2.0,-4.4,-1.8,-4.6,0.2,0.3,-4.3,-5.5,-0.7,-0.5,3.4,-3.6,-1.3,-0.5,0.2,0.2,2.1,-1.7
1904,-7.7,-7.5,-2.5,-3.3,3.0,-0.4,-1.3,-2.2,-1.7,-3.0,-4.7,-7.8,-3.3,-6.9,-0.9,-1.3,-3.1,-3.1,-3.0,-2.8,-5.5,-0.5
1905,-4.6,-7.3,-0.9,-0.7,0.2,-0.9,0.2,-1.7,-0.6,-0.4,-3.0,1.7,-1.5,-6.6,-0.5,-0.8,-1.3,-2.3,-2.4,-2.6,-5.1,-0.6
1906,6.6,-0.5,-6.6,-0.2,-0.4,0.7,-0.7,2.4,2.2,-0.3,-1.5,-3.2,-0.1,2.6,-2.4,0.8,0.1,0.3,0.2,0.1,-0.4,0.8
1907,-0.9,-7.3,1.0,-4.7,-5.2,-2.8,-0.9,-2.3,0.5,-4.7,-1.9,2.6,-2.2,-3.8,-3.0,-2.0,-2.0,-2.7,-2.7,-2.3,-2.4,-2.1
1908,0.7,-4.1,0.4,-0.9,1.7,1.1,1.6,-1.5,2.1,1.9,-0.8,-1.1,0.1,-0.3,0.4,0.4,1.1,0.4,0.3,-0.2,-0.5,1.0
1909,1.9,3.9,-2.7,-1.2,-1.0,0.6,-2.6,-1.4,-1.1,-2.8,3.0,-2.8,-0.5,1.6,-1.6,-1.1,-0.3,-0.4,-0.7,-0.3,0.2,-1.1
1910,1.2,-1.9,5.5,4.2,-1.6,-2.3,0.6,-1.2,0.2,1.3,-3.6,-6.8,-0.4,-1.2,2.7,-1.0,-0.7,-0.0,0.5,0.2,1.0,-0.9
1911,2.2,-1.1,-3.9,-2.6,6.0,-0.3,2.3,0.4,-0.7,-1.3,-3.4,5.3,0.2,-1.9,-0.2,0.8,-1.8,-0.8,-0.8,-0.6,-2.6,1.5
